Date,MKRUSDT,SRMUSDT,C98USDT,SFPUSDT,1000XECUSDT,XEMUSDT,ZENUSDT,ETHUSDT,MTLUSDT,BATUSDT,ENJUSDT,RSRUSDT,OMGUSDT,ATAUSDT,IOSTUSDT,STGUSDT,DOGEUSDT,ALGOUSDT,ANKRUSDT,CHZUSDT,ZRXUSDT,AVAXUSDT,SCUSDT,TOMOUSDT,ARUSDT,CELOUSDT,SXPUSDT,OCEANUSDT,DOTUSDT,UNFIUSDT,ALPHAUSDT,ONEUSDT,BTSUSDT,EGLDUSDT,INJUSDT,DUSKUSDT,RENUSDT,KAVAUSDT,NEOUSDT,BCHUSDT,CVCUSDT,SUSHIUSDT,LPTUSDT,SOLUSDT,WOOUSDT,NKNUSDT,FILUSDT,AAVEUSDT,HOTUSDT,GTCUSDT,APEUSDT,GALAUSDT,VETUSDT,ANTUSDT,BELUSDT,SNXUSDT,BAKEUSDT,STMXUSDT,REEFUSDT,OGNUSDT,GALUSDT,RLCUSDT,XTZUSDT,EOSUSDT,COTIUSDT,STORJUSDT,HNTUSDT,IMXUSDT,OPUSDT,ARPAUSDT,DASHUSDT,MANAUSDT,CELRUSDT,GRTUSDT,1INCHUSDT,ROSEUSDT,DEFIUSDT,KSMUSDT,LINAUSDT,ATOMUSDT,CHRUSDT,IOTXUSDT,XMRUSDT,FTMUSDT,IOTAUSDT,BTCDOMUSDT,CTKUSDT,UNIUSDT,TRXUSDT,ONTUSDT,CRVUSDT,KNCUSDT,RVNUSDT,THETAUSDT,ICXUSDT,SKLUSDT,API3USDT,KLAYUSDT,WAVESUSDT,TLMUSDT,ADAUSDT,ALICEUSDT,FLOWUSDT,MASKUSDT,LRCUSDT,NEARUSDT,DARUSDT,AUDIOUSDT,PEOPLEUSDT,CTSIUSDT,MATICUSDT,BALUSDT,ZILUSDT,ENSUSDT,DGBUSDT,XLMUSDT,JASMYUSDT,DENTUSDT,QTUMUSDT,FTTUSDT,LTCUSDT,FLMUSDT,RUNEUSDT,ZECUSDT,1000SHIBUSDT,AXSUSDT,BANDUSDT,GMTUSDT,ETCUSDT,TRBUSDT,COMPUSDT,ICPUSDT,LINKUSDT,HBARUSDT,XRPUSDT,BNXUSDT,RAYUSDT,DYDXUSDT,YFIUSDT,BTCUSDT,LITUSDT,SANDUSDT,BLZUSDT,BNBUSDT
2022-07-31 00:00:00,1110.8,1.003,0.5127,0.3916,0.04418,0.0492,17.868,1698.48,1.3768,0.4053,0.6305,0.006957,2.263,0.2143,0.014546,,0.06961,0.3366,0.02985,0.12759,0.3484,24.32,0.003653,0.587,14.672,1.043,0.4217,0.20248,8.268,8.428,0.1553,0.02367,0.01238,56.91,,0.14552,0.1474,1.9076,11.331,145.22,0.14817,1.491,11.736,44.16,0.22623,0.10825,8.182,95.25,0.002236,2.888,6.734,0.05573,0.02746,1.981,0.8908,3.66,0.3251,0.00817,0.004285,0.2162,3.6273,0.9786,1.808,1.323,0.10955,0.6795,9.447,1.1897,1.7383,0.03883,50.78,1.0202,0.02044,0.13175,0.766,0.08511,910.8,63.48,0.01008,10.651,0.2158,0.03371,157.12,0.3361,0.3176,1275.1,1.1503,8.633,0.06928,0.2754,1.353,1.585,0.04102,1.4,0.3104,0.0586,1.95,0.3143,5.653,0.0347,0.5263,2.845,1.921,1.647,0.4307,4.381,0.3244,0.3472,0.03374,0.1695,0.9365,6.393,0.04205,14.632,0.01153,0.12084,0.00962,0.001103,4.331,31.039,60.83,0.2209,2.659,65.25,0.011936,18.79,1.7684,0.987,39.058,27.34,58.04,6.44,7.83,0.07324,0.3889,134.28,0.866,2.348,11295.0,23690.6,0.996,1.3379,0.1044,289.39
2022-07-31 01:00:00,1122.2,0.996,0.5087,0.3937,0.04422,0.0492,17.792,1696.68,1.3793,0.405,0.6288,0.006888,2.256,0.2166,0.014493,,0.06962,0.3377,0.02982,0.12677,0.3486,24.22,0.003653,0.5832,14.727,1.049,0.4203,0.2046,8.208,8.286,0.1559,0.02388,0.01232,56.99,,0.14597,0.1473,1.8992,11.363,145.34,0.14799,1.492,11.627,43.83,0.22325,0.10797,8.038,95.19,0.002233,2.865,6.691,0.05579,0.02741,1.972,0.8838,3.638,0.3238,0.00805,0.004255,0.2163,3.6254,0.9791,1.818,1.308,0.10992,0.6778,9.661,1.1876,1.8084,0.0385,50.7,1.0096,0.02049,0.13192,0.7658,0.08493,920.3,63.1,0.01002,10.7,0.2162,0.03363,155.76,0.3351,0.3166,1275.2,1.0593,8.775,0.06907,0.2759,1.358,1.589,0.04179,1.39,0.3078,0.05865,1.93,0.3139,5.641,0.0347,0.5263,2.831,1.922,1.64,0.4311,4.356,0.3244,0.3468,0.03323,0.1683,0.9308,6.357,0.04204,14.742,0.01144,0.11959,0.00962,0.001092,4.323,31.099,60.4,0.2213,2.64,65.16,0.011923,19.09,1.7924,0.9777,39.433,31.95,58.06,6.44,7.819,0.07285,0.3879,134.6,0.86,2.35,11745.0,23629.9,0.984,1.3368,0.10528,287.76
2022-07-31 02:00:00,1141.0,1.004,0.5171,0.3948,0.04428,0.0504,17.96,1708.86,1.4013,0.4082,0.6445,0.00692,2.265,0.2247,0.014629,,0.06997,0.3394,0.0302,0.12745,0.3465,24.38,0.003653,0.5942,14.933,1.049,0.4243,0.2059,8.304,8.441,0.1589,0.02424,0.01256,57.23,,0.14717,0.1492,1.9007,11.42,145.64,0.14915,1.526,11.777,43.81,0.22671,0.10982,8.224,95.68,0.002257,2.934,6.73,0.05659,0.02769,1.998,0.894,3.675,0.3298,0.00818,0.004295,0.2187,3.9272,0.9914,1.835,1.312,0.11099,0.6877,9.611,1.1654,1.7865,0.03916,50.97,1.0246,0.02072,0.13394,0.7733,0.0871,926.1,63.61,0.0103,10.765,0.2189,0.03413,156.53,0.3381,0.3198,1271.9,1.069,8.834,0.06957,0.2783,1.381,1.595,0.03947,1.417,0.3131,0.06099,2.055,0.3153,5.685,0.0347,0.5281,2.878,1.964,1.672,0.4335,4.401,0.3315,0.3499,0.03323,0.1708,0.9526,6.449,0.04266,14.711,0.01163,0.12032,0.00982,0.001111,4.374,31.221,60.96,0.2214,2.659,65.6,0.01195,18.72,1.8127,0.9803,39.415,30.57,58.5,6.44,7.915,0.07477,0.3904,134.37,0.87,2.366,11920.0,23734.0,1.023,1.3461,0.10607,290.3
2022-07-31 03:00:00,1132.7,0.996,0.514,0.3939,0.04413,0.0502,17.894,1695.91,1.3909,0.4066,0.6425,0.006919,2.265,0.2328,0.014588,,0.06983,0.3398,0.03011,0.12699,0.3425,24.41,0.003653,0.5947,15.009,1.037,0.4247,0.2055,8.245,8.363,0.16,0.0249,0.01241,56.94,,0.15031,0.1482,1.8912,11.391,145.72,0.14832,1.511,11.796,43.3,0.2268,0.10938,8.695,95.26,0.00225,2.916,6.723,0.05651,0.0276,2.0,0.8895,3.669,0.3285,0.00817,0.004299,0.2181,3.8467,0.9884,1.815,1.309,0.11096,0.6778,9.552,1.1685,1.7367,0.03912,50.75,1.0199,0.02059,0.13304,0.7718,0.09267,924.8,63.19,0.01026,10.761,0.2197,0.03393,156.31,0.3374,0.3195,1276.3,1.0614,8.929,0.06929,0.2762,1.379,1.586,0.03892,1.398,0.3112,0.0606,2.022,0.3145,5.659,0.0347,0.5294,2.903,1.943,1.663,0.4324,4.377,0.3307,0.3495,0.03312,0.1695,0.9735,6.389,0.04254,14.631,0.01159,0.11951,0.0098,0.00111,4.325,31.101,60.93,0.2191,2.651,65.3,0.011969,18.61,1.8025,0.98,39.074,30.59,58.62,6.44,7.988,0.07543,0.3909,134.6,0.865,2.376,11953.0,23716.5,1.019,1.3513,0.10538,290.6
2022-07-31 04:00:00,1128.8,1.003,0.5196,0.3959,0.04428,0.0506,17.974,1696.04,1.3947,0.407,0.6456,0.006956,2.267,0.2344,0.014579,,0.07033,0.3409,0.03024,0.12868,0.3436,24.47,0.003653,0.5991,14.952,1.058,0.4264,0.2073,8.233,8.472,0.1593,0.0252,0.01252,57.09,,0.15011,0.1486,1.8991,11.398,146.56,0.1489,1.514,11.811,43.42,0.22947,0.10984,8.422,95.72,0.002255,2.934,6.727,0.0578,0.02768,2.013,0.8949,3.667,0.3304,0.0082,0.004312,0.2191,3.9141,0.9944,1.82,1.307,0.11119,0.6809,9.548,1.1816,1.7033,0.03935,50.8,1.0196,0.02064,0.13439,0.7827,0.09091,926.0,63.38,0.01033,10.769,0.2196,0.03413,157.22,0.3399,0.3203,1277.2,1.0391,8.824,0.06924,0.2763,1.378,1.592,0.03836,1.404,0.3107,0.06035,2.035,0.3143,5.699,0.0347,0.5308,2.931,1.948,1.676,0.4354,4.415,0.3371,0.353,0.03321,0.1707,0.9792,6.374,0.04258,14.76,0.01161,0.11967,0.01045,0.001114,4.346,31.303,61.15,0.2187,2.666,65.72,0.012023,18.75,1.8135,0.9848,39.302,30.79,59.1,6.44,7.947,0.07488,0.3907,134.69,0.872,2.387,11975.0,23784.0,1.014,1.3539,0.10572,292.94
2022-07-31 05:00:00,1127.1,0.999,0.5179,0.3991,0.04419,0.0503,18.007,1693.3,1.388,0.4059,0.6359,0.006864,2.253,0.2316,0.014588,,0.07039,0.3399,0.03024,0.12918,0.3447,24.46,0.003653,0.6037,14.715,1.063,0.4254,0.20615,8.187,8.441,0.1591,0.02469,0.01249,57.36,,0.1507,0.1487,1.8908,11.343,147.11,0.14839,1.506,11.904,43.23,0.2273,0.10937,8.321,95.64,0.002254,2.933,6.775,0.05725,0.02764,2.007,0.8952,3.65,0.3286,0.00819,0.004312,0.219,4.1725,0.9963,1.816,1.301,0.11102,0.6809,9.582,1.164,1.6994,0.03947,50.75,1.0256,0.02056,0.13413,0.7815,0.09042,923.4,63.3,0.0103,10.745,0.22,0.03397,156.93,0.3414,0.3203,1276.4,1.0276,8.798,0.06922,0.275,1.38,1.587,0.03787,1.397,0.3096,0.06067,1.996,0.3105,5.701,0.0347,0.5279,2.95,1.938,1.686,0.4333,4.395,0.3447,0.3507,0.03252,0.1698,0.9878,6.351,0.04253,14.728,0.0117,0.1196,0.01096,0.001109,4.33,31.269,60.93,0.2145,2.649,65.62,0.01201,18.59,1.8014,0.9939,39.329,31.17,58.79,6.44,7.916,0.07551,0.3887,134.66,0.873,2.379,11937.0,23732.5,1.0,1.3554,0.10468,292.83
2022-07-31 06:00:00,1140.3,1.026,0.5263,0.4051,0.04461,0.0507,18.32,1702.07,1.3988,0.4108,0.643,0.007003,2.29,0.2362,0.014757,,0.07106,0.3431,0.03106,0.12943,0.3492,24.74,0.003653,0.6112,14.896,1.068,0.4323,0.21142,8.262,8.483,0.1606,0.02537,0.01288,57.78,,0.15852,0.1505,1.9034,11.458,149.51,0.14995,1.523,11.988,44.02,0.23412,0.11145,8.46,96.7,0.002299,3.027,6.83,0.05985,0.02837,2.029,0.9092,3.735,0.3364,0.00831,0.004386,0.222,4.2291,1.0135,1.839,1.319,0.1132,0.6911,9.701,1.1799,1.7215,0.04027,51.77,1.0346,0.02103,0.13782,0.7976,0.08902,933.6,63.92,0.01046,10.86,0.2241,0.03457,157.81,0.3466,0.3257,1272.5,1.0443,8.934,0.06954,0.2775,1.396,1.605,0.03908,1.42,0.3131,0.06273,2.034,0.3087,5.731,0.0347,0.5326,3.196,1.963,1.868,0.4406,4.458,0.3519,0.3575,0.03293,0.1739,0.9716,6.45,0.04304,14.914,0.01181,0.12044,0.01084,0.00113,4.415,31.349,61.41,0.2148,2.697,66.35,0.012145,18.91,1.835,1.0019,40.886,31.1,59.57,6.44,7.923,0.07719,0.3895,135.72,0.887,2.42,12047.0,23791.9,1.018,1.3639,0.1064,293.74
2022-07-31 07:00:00,1121.3,1.02,0.5228,0.4033,0.04427,0.0502,18.312,1690.57,1.3821,0.4077,0.6373,0.006858,2.279,0.2317,0.014707,,0.07021,0.3396,0.03086,0.12736,0.3467,24.45,0.003653,0.6075,14.644,1.062,0.4308,0.21175,8.219,8.48,0.1583,0.02402,0.01264,57.11,,0.15851,0.1489,1.8919,11.363,147.67,0.148,1.507,11.877,43.7,0.22727,0.1207,8.275,95.36,0.002282,3.12,6.776,0.06266,0.02795,2.012,0.9056,3.681,0.336,0.00823,0.004348,0.2197,4.4539,1.0121,1.818,1.309,0.11253,0.6829,9.587,1.1497,1.6782,0.03977,51.29,1.0227,0.02078,0.13566,0.784,0.08883,924.8,63.64,0.01038,10.783,0.2238,0.03425,156.92,0.3419,0.323,1277.3,1.0174,8.841,0.06924,0.2761,1.39,1.607,0.03836,1.401,0.3105,0.06077,2.045,0.3064,5.724,0.0347,0.5283,3.079,1.958,1.903,0.4349,4.428,0.347,0.3546,0.03244,0.1718,0.9571,6.366,0.0427,14.768,0.01173,0.11891,0.01051,0.001114,4.35,31.174,60.95,0.2122,2.669,65.44,0.012036,18.72,1.8476,0.9923,40.197,31.23,59.03,6.44,7.809,0.0763,0.3865,135.17,0.878,2.37,11738.0,23699.9,1.0,1.353,0.1055,292.52
2022-07-31 08:00:00,1126.5,1.022,0.534,0.4032,0.04429,0.0506,18.41,1700.66,1.39,0.4101,0.6403,0.006895,2.284,0.2233,0.014847,,0.07092,0.3422,0.03109,0.12855,0.3483,24.68,0.003653,0.6055,14.769,1.081,0.4338,0.20978,8.284,8.782,0.1602,0.02377,0.01279,57.57,,0.15439,0.1496,1.9037,11.394,148.21,0.14838,1.524,12.069,44.25,0.22717,0.1199,8.343,96.3,0.002295,3.086,6.828,0.06138,0.02814,2.015,0.9072,3.746,0.3366,0.00828,0.004353,0.2209,4.3914,1.0159,1.827,1.308,0.113,0.6862,9.582,1.1575,1.7067,0.03989,51.73,1.0338,0.02083,0.13768,0.7894,0.08605,931.4,63.79,0.01043,10.847,0.2244,0.03436,157.14,0.3445,0.3249,1271.8,1.0317,9.079,0.06939,0.2771,1.396,1.607,0.03884,1.41,0.3117,0.06108,2.048,0.308,5.908,0.0347,0.5315,3.076,1.975,1.864,0.4386,4.467,0.3464,0.3572,0.03264,0.1721,0.9617,6.422,0.04293,14.862,0.01184,0.1192,0.01058,0.001118,4.384,31.203,61.28,0.211,2.691,65.63,0.012109,18.8,1.8229,0.9948,40.534,31.88,59.44,6.44,7.844,0.07689,0.3897,135.3,0.882,2.384,11724.0,23764.6,1.005,1.3644,0.10592,294.64
2022-07-31 09:00:00,1126.4,1.013,0.524,0.3996,0.04405,0.0503,18.436,1696.97,1.3691,0.4078,0.6336,0.006796,2.267,0.2179,0.014731,,0.07044,0.3424,0.03082,0.12821,0.347,24.5,0.003653,0.6017,14.588,1.068,0.4309,0.20721,8.245,8.637,0.1585,0.02362,0.01267,57.42,,0.15623,0.1482,1.8826,11.289,147.48,0.14793,1.518,11.891,43.83,0.22468,0.11569,8.312,95.39,0.002276,3.087,6.793,0.06035,0.02806,2.004,0.8937,3.701,0.3344,0.00819,0.00432,0.2192,4.4875,1.05,1.809,1.298,0.1124,0.6812,9.454,1.1578,1.7146,0.0398,51.57,1.0259,0.0207,0.13535,0.7841,0.08528,924.8,63.5,0.01037,10.782,0.2221,0.03399,156.58,0.3427,0.3207,1273.0,1.0208,8.945,0.06937,0.2754,1.378,1.588,0.03895,1.398,0.3106,0.06004,2.008,0.3082,5.777,0.0347,0.528,3.017,1.985,1.83,0.436,4.444,0.3432,0.3536,0.03251,0.1708,0.9522,6.368,0.04263,14.796,0.01174,0.1194,0.01052,0.001112,4.355,31.125,61.13,0.2074,2.678,65.07,0.012023,18.71,1.8046,0.9852,40.566,32.43,59.13,6.44,7.791,0.07681,0.3917,134.91,0.881,2.37,11716.0,23704.9,1.002,1.3521,0.10526,291.5
